Count_Date,State,Trips/hour,comparison,description,electorate,latitude,longitude,not known,site_id,year,Legs
2021-07-27,NT,75.6,0.269565217,"Dick Ward Dr [E], East point Rd/Bike Path [S], East Point Rd/Bike Path [NW]",Darwin,-12.424536,130.835473,0,5585.0,2021,3.0
2021-07-27,NT,86.6,0.006849315,"Casuarina Foreshore Path [N], Casuarina Foreshore Path [E], Casuarina Foreshore Path [S]",Darwin,-12.371739,130.863139,2,5981.0,2021,3.0
2021-08-24,NT,3.8,-0.555555556,"Rothdale Rd [S], Freshwater Rd [W], Rothdale Rd [N]",Darwin,-12.391632,130.877968,0,6188.0,2021,3.0
2021-07-27,NT,28.8,-0.1875,"Lee Point Rd [N], Lee Point Rd [S], Tambling Tce [W]",Darwin,-12.366516,130.892152,0,6808.0,2021,3.0
2021-08-24,NT,14.0,,"Trower Rd [N], Trower Rd [S], Dripstone Rd [W]",Darwin,-12.377574,130.88217,0,6830.0,2021,3.0
2021-08-24,NT,23.4,-0.065217391,"Tiger Brennan Drive north bound [N], Frances Bay Drive north bound [NE], Frances Bay Drive south bound [S], Tiger Brennan Drive south bound [SW], Dinah Beach Rd [W]",Darwin,-12.45294,130.847549,0,6949.0,2021,5.0
2021-07-27,NT,21.6,0.026315789,"Dripstone Rd [SE], Lakeside Dr [SW], Dripstone Rd [NW]",Darwin,-12.374524,130.87454,0,7123.0,2021,3.0
2021-08-24,NT,5.4,1.4,"Berrimah Rd [N], Tiger Brennan Dr [E], Berrimah Rd [S], Tiger Brennan Dr [W]",Darwin,-12.45,130.9235,0,7130.0,2021,4.0
2021-08-24,NT,47.6,0.083333333,"Fox Cr [NE], Nightcliff Rd [SE], Camphor St [SW], Nightcliff Rd [NW]",Darwin,-12.382654,130.853932,0,7249.0,2021,4.0
2021-09-07,NT,19.8,0.025641026,"Garramilla Blvd [NE], McMinn St [SE], Garramilla Blvd [SW], McMinn St [NW]",Darwin,-12.458133,130.8427,0,7351.0,2021,4.0
2021-07-27,NT,8.0,-0.363636364,"Roystonea Ave [SE], University Ave [SW], Roystonea Ave [NW]",Palmerston,-12.475906,130.985374,0,5501.0,2021,3.0
2021-07-27,NT,25.6,-0.138461538,"McMillans Rd [NE], Stuart Hwy [SE], Stuart Hwy [NW]",Palmerston,-12.444442,130.952575,1,5500.0,2021,3.0
2021-07-27,NT,20.2,-0.219512195,"Roystonea Ave [N], Lambrick Ave [E], Roystonea Ave [S], Lambrick Ave [W]",Palmerston,-12.502173,130.998955,1,5982.0,2021,4.0
2021-07-27,NT,8.0,0.666666667,"Temple Terrace [NE], Farrar Boulevard [SE], Temple Terrace [SW], Toupein Road [NW]",Palmerston,-12.476771,130.99263,0,6951.0,2021,4.0
2021-08-24,NT,15.8,0.722222222,"Howard Springs Rd [NE], Howard Springs shared path [SE], Howard Springs Rd [SW], Howard Springs shared path [NW]",Palmerston,-12.493,131.019,0,7129.0,2021,4.0
2021-08-24,NT,9.2,-0.428571429,"Yarrawonga Rd [NE], Roystonea Ave [SE], Packard Ave [W], Roystonea Ave [NW]",Palmerston,-12.473,130.983,1,7127.0,2021,4.0
2021-08-24,NT,23.4,0.466666667,"Lambrick Ave [E], Zuccoli Pde [S], Lambrick Ave [W], Farrar Blvd [N]",Palmerston,-12.501095,131.006133,2,6566.0,2021,4.0
2021-07-27,NT,11.0,0.222222222,"Temple Tce [NE], Roystonea Ave/Footpath [SE], Temple Tce/Footpath [SW], Roystonea Ave/Footpath [NW]",Palmerston,-12.479334,130.988479,0,6807.0,2021,4.0
2021-09-07,NT,6.2,2.0,"University Ave [E], Elrundie Ave [S], Kirkland Rd [W]",Palmerston,-12.481,130.97,0,7128.0,2021,3.0
2025-08-05,NT,7.0, ,"Tiger Brennan Dr [NE], McMinn St [SE], Bennett St [SW], McMinn St [N]",Darwin,-12.462408,130.84573,0,5506.0,2025,4.0
2025-07-29,NT,24.0,8,"Stuart Hwy path [N], Stuart Hwy [NE], McMinn St [SE], Daly St [SW], McMinn St [NW]",Darwin,-12.454653,130.839183,0,5507.0,2025,5.0
2025-07-29,NT,33.0,23,"Stuart Hwy/Bike Path [N], Westralia St [E], Stuart Hwy/Bike Path [S]",Darwin,-12.445064,130.84106,5,5508.0,2025,3.0
2025-08-12,NT,11.0,-1,"Tiger Brennan Dr [NE], Stoddart Dr [SE], Tiger Brennan Dr [SW], Woolner Rd [NW]",Darwin,-12.43842,130.850134,1,5509.0,2025,4.0
2025-07-29,NT,24.5,-1,"Stuart Hwy [E], Stuart Hwy [SW], Stokes St [W], Parap Rd [N]",Darwin,-12.435826,130.843351,0,5510.0,2025,4.0
2025-08-05,NT,18.0,-15,"Stuart Hwy [NE], Stuart Hwy [SW], Ross Smith Ave [NW]",Darwin,-12.432985,130.849083,0,5511.0,2025,3.0
2025-07-29,NT,20.0,6,"Stuart Hwy [NE], Snell St [SE], Stuart Hwy [SW], Bagot Rd [N]",Darwin,-12.429357,130.856979,2,5512.0,2025,4.0
2025-08-12,NT,8.5,13,"Bagot Rd [N], Bagot Rd [S], Fitzer Dr [W]",Darwin,-12.410494,130.856116,3,5513.0,2025,3.0
2025-08-05,NT,5.5,-21,"Bagot Rd [N], Osgood Dr [E], Bagot Rd [S], Totem Rd [W]",Darwin,-12.402638,130.856105,0,5514.0,2025,4.0
2025-07-29,NT,9.0,25,"Bagot Rd [N], Old McMillans Rd [E], Bagot Rd [S], Old McMillans Rd [W]",Darwin,-12.395324,130.856016,1,5515.0,2025,4.0
2025-07-29,NT,10.0,5,"Trower Rd [NE], Sabine Rd [SE], Trower Rd [SW]",Darwin,-12.387763,130.858441,1,5516.0,2025,3.0
